Algoritma,procDelay_ms,messageLength_B,received_packets,received_bytes
BLE,0.120ms,112B,99.0,11088.0
CLEFIA,0.130ms,116B,99.0,11484.0
ChaCha20,0.060ms,100B,99.0,9900.0
ECC,2.000ms,172B,99.0,17028.0
ECC_6LOWPAN,2.000ms,172B,99.0,17028.0
GIFT,0.070ms,108B,49.0,5292.0
ML-KEM,0.500ms,1188B,99.0,117612.0
ML-DSA,0.850ms,2420B,99.0,239580.0
PRESENT,0.090ms,108B,99.0,10692.0
SHA-256,0.020ms,132B,99.0,13068.0
RSA,5.000ms,256B,99.0,25344.0
SPECK_6LOWPAN,0.080ms,108B,99.0,10692.0
SPECK,0.080ms,108B,99.0,10692.0
SPECK_LPWAN,0.080ms,108B,49.0,5292.0
SPONGENT,0.050ms,120B,49.0,5880.0
