run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,vectime,vecvalue
ECC-0-20260408-11:10:05-2463,runattr,,,configname,ECC,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,datetime,20260408-11:10:05,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,datetimef,20260408-111005,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,experiment,ECC,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,iterationvars,,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,iterationvarsd,,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,iterationvarsf,,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,measurement,,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,network,AdvancedSecurityNetwork,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,processid,2463,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,repetition,0,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,replication,#0,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,resultdir,results,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,runnumber,0,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,runattr,,,seedset,0,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,description,"ECC Sifrelemesi (Orta Gecikme, Guvenli)",,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,*.sensor.app[0].cryptoType,"""ECC""",,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,*.sensor.app[0].packetSize,165B,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,*.sensor.app[0].cryptoCpuDelay,20ms,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,*.actuator.app[0].cryptoType,"""ECC""",,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,*.actuator.app[0].cryptoCpuDelay,20ms,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,network,AdvancedSecurityNetwork,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,ned-path,.:/home/uzai/yga/omnet/inet/src,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,sim-time-limit,100s,,,,,,,,,,,,,
